tool		Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8
run set		btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2
word-level-hwmc-benchmarks/bv/btor2/		status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host
beem/at.2.prop1-func-interl.yml	false	TIMEOUT	990.623810812	953.7522642010008	1862.291456	cloud-24444	ERROR (verification stuck, after parsing finished)	77.284871405	62.631985724001424	565.088256	cloud-23941	TIMEOUT	992.277509123	926.1923962790024	14351.335424	cloud-24643	TIMEOUT	991.288211808	953.9220781539916	11289.722880	cloud-23944	TIMEOUT	991.264212691	966.426297433005	10611.408896	cloud-23939
beem/at.3.prop1-back-serstep.yml	false	TIMEOUT	990.484298572	957.9723891870017	1554.583552	cloud-24643	ERROR (verification stuck, after parsing finished)	107.921504282	89.18062249600007	785.870848	cloud-24643	OUT OF MEMORY	361.495920133	331.69609928200043	15000.051712	cloud-24441	TIMEOUT	990.988763358	960.9453739419696	11343.699968	cloud-23940	TIMEOUT	991.090594589	966.0698922119918	12369.973248	cloud-23943
beem/at.3.prop1-func-interl.yml	false	TIMEOUT	990.616578379	961.4945676689968	2532.683776	cloud-24441	ERROR (verification stuck, after parsing finished)	196.059551156	167.69354844100235	1203.572736	cloud-24441	OUT OF MEMORY	418.071034271	388.464666074	15000.043520	cloud-24444	TIMEOUT	991.526009723	959.1530729490041	9519.173632	cloud-24444	TIMEOUT	991.410839031	966.6705877450004	10119.483392	cloud-24643
beem/at.4.prop1-back-serstep.yml	true	TIMEOUT	990.595508986	963.2154242940014	3551.510528	cloud-24643	ERROR (verification stuck, after parsing finished)	210.913067439	184.48385874499945	1429.696512	cloud-24444	TIMEOUT	991.533129217	947.606606325	13024.350208	cloud-24444	TIMEOUT	991.054954749	964.9535103210001	7438.938112	cloud-24643	TIMEOUT	991.078497267	962.3992648820004	7437.746176	cloud-24444
beem/at.4.prop1-func-interl.yml	true	TIMEOUT	991.240703244	938.959308649999	2416.812032	cloud-24441	ERROR (verification stuck, after parsing finished)	307.146588671	280.6020462919987	1352.220672	cloud-24643	OUT OF MEMORY	766.849666545	730.3340538289922	15000.170496	cloud-23941	TIMEOUT	991.778972895	959.5891935979998	9563.303936	cloud-24441	TIMEOUT	990.887649679	966.2393653130002	7153.356800	cloud-24441
beem/at.5.prop1-back-serstep.yml	true	TIMEOUT	990.798225311	942.6894587629977	2684.755968	cloud-24441	ERROR (verification stuck, after parsing finished)	214.400861049	188.89976099400155	1380.552704	cloud-24444	OUT OF MEMORY	773.57480321	744.3128213989985	15000.178688	cloud-23943	TIMEOUT	991.628016145	958.4461230189991	6525.980672	cloud-24441	TIMEOUT	991.178265239	965.5360904970003	7903.739904	cloud-24441
beem/at.5.prop1-func-interl.yml	true	TIMEOUT	990.95868921	944.4751254199946	2241.572864	cloud-24444	ERROR (verification stuck, after parsing finished)	290.4909966	265.92403096400085	1421.426688	cloud-24444	TIMEOUT	992.052324121	949.0237324150075	14480.592896	cloud-24444	TIMEOUT	991.367092547	961.1893373950006	6708.563968	cloud-24643	TIMEOUT	991.184891371	968.7087127490086	11926.888448	cloud-23943
beem/at.6.prop1-back-serstep.yml	false	TIMEOUT	991.155733033	927.0850084970007	3024.728064	cloud-24443	ERROR (verification stuck, after parsing finished)	209.756396112	184.52548112700242	916.570112	cloud-24444	OUT OF MEMORY	697.874754569	666.5238051010092	15000.166400	cloud-23940	TIMEOUT	991.250437757	966.1582675139998	7571.353600	cloud-24444	TIMEOUT	990.793793909	965.275700362	7839.604736	cloud-24643
beem/at.6.prop1-func-interl.yml	false	TIMEOUT	990.56304414	960.2640260730004	2695.712768	cloud-24441	ERROR (verification stuck, after parsing finished)	303.438261399	277.68944320099945	1267.474432	cloud-24441	TIMEOUT	991.353030832	947.3602714570006	12926.894080	cloud-23942	TIMEOUT	991.617798851	957.4342847370026	7423.455232	cloud-24441	TIMEOUT	991.127356142	967.546097770999	6348.337152	cloud-24441
beem/at.7.prop1-back-serstep.yml	true	TIMEOUT	990.67784032	952.0624067009994	1590.026240	cloud-24443	ERROR (verification stuck, after parsing finished)	352.304846463	324.3588284090001	1348.448256	cloud-24444	TIMEOUT	991.538261435	953.0149061039992	10132.377600	cloud-24444	TIMEOUT	990.938464682	966.3994752009748	9394.212864	cloud-23942	TIMEOUT	990.933463292	971.3804740530031	9334.497280	cloud-24643
beem/at.7.prop1-func-interl.yml	true	TIMEOUT	990.419449173	962.8403681470008	2525.257728	cloud-24643	ERROR (verification stuck, after parsing finished)	470.098205612	442.695310739	1646.100480	cloud-24444	TIMEOUT	991.242128774	953.1903200210072	8916.434944	cloud-23941	TIMEOUT	991.353606563	964.4850026149979	6662.840320	cloud-24444	TIMEOUT	991.063367451	968.1416746750001	7204.417536	cloud-24643
beem/bakery.1.prop1-back-serstep.yml	true	TIMEOUT	990.845133111	948.6765018340011	4131.008512	cloud-24441	ERROR (verification stuck, after parsing finished)	27.594580836	15.555807324000398	349.278208	cloud-24444	OUT OF MEMORY	629.551208262	599.3576173170004	15000.047616	cloud-24643	TIMEOUT	990.68322429	945.6524470739823	7386.136576	cloud-23943	TIMEOUT	990.816822727	974.28836073	7161.438208	cloud-24444
beem/bakery.1.prop1-func-interl.yml	true	TIMEOUT	990.698745552	948.070687317002	1423.642624	cloud-24444	ERROR (verification stuck, after parsing finished)	37.795021685	22.542765463999785	297.119744	cloud-24643	OUT OF MEMORY	657.862489824	632.0346354590001	15000.178688	cloud-23944	TIMEOUT	991.112144223	967.2995504410028	5482.954752	cloud-24643	TIMEOUT	991.22823254	975.5543432039995	5943.283712	cloud-24443
beem/bakery.2.prop1-back-serstep.yml	false	TIMEOUT	990.631221649	963.170927718	5088.231424	cloud-24444	ERROR (verification stuck, after parsing finished)	28.387042766	16.764672405995952	334.757888	cloud-24443	OUT OF MEMORY	858.959025531	821.9620570689949	15000.039424	cloud-24444	TIMEOUT	991.361072199	961.8873510980011	5643.108352	cloud-24441	TIMEOUT	990.98746005	974.4760923570011	6949.982208	cloud-24444
