Algorithm,Benchmark,Benchmark_Base,Iterations,Vars,Locs,Edges,Atomic_Stmts,XCVA_Path,Log_Path
KIND_C,lup.1.prop1-func-interl.c,lup.1,13,2442,5,4,5702,fight_xcfa\c-xcfa\lup.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,lup.2.prop1-func-interl.c,lup.2,13,5072,5,4,11754,fight_xcfa\c-xcfa\lup.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,lup.4.prop1-func-interl.c,lup.4,13,6441,5,4,14888,fight_xcfa\c-xcfa\lup.4.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,production_cell.1.prop1-func-interl.c,production_cell.1,13,1993,5,4,4785,fight_xcfa\c-xcfa\production_cell.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,resistance.1.prop1-func-interl.c,resistance.1,13,1285,5,4,3149,fight_xcfa\c-xcfa\resistance.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,resistance.1.prop2-func-interl.c,resistance.1,13,1285,5,4,3149,fight_xcfa\c-xcfa\resistance.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,resistance.1.prop3-func-interl.c,resistance.1,13,1285,5,4,3149,fight_xcfa\c-xcfa\resistance.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,resistance.2.prop2-func-interl.c,resistance.2,13,1586,5,4,3887,fight_xcfa\c-xcfa\resistance.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,resistance.2.prop3-func-interl.c,resistance.2,13,1586,5,4,3887,fight_xcfa\c-xcfa\resistance.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,count2.c,count2,13,11,5,4,30,fight_xcfa\c-xcfa\count2.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,count4.c,count4,13,11,5,4,30,fight_xcfa\c-xcfa\count4.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,factorial4even.c,factorial4even,13,25,5,5,70,fight_xcfa\c-xcfa\factorial4even.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,recount4.c,recount4,13,20,5,4,60,fight_xcfa\c-xcfa\recount4.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
