Input Filename,Input Type,Algorithm,Iterations
iprotocol.3.prop1-back-serstep.yml,BTOR2,BMC,5
iprotocol.3.prop1-func-interl.yml,BTOR2,BMC,6
iprotocol.4.prop1-back-serstep.yml,BTOR2,BMC,5
iprotocol.4.prop1-func-interl.yml,BTOR2,BMC,7
iprotocol.5.prop1-back-serstep.yml,BTOR2,BMC,4
iprotocol.5.prop1-func-interl.yml,BTOR2,BMC,6
iprotocol.6.prop1-back-serstep.yml,BTOR2,BMC,5
iprotocol.6.prop1-func-interl.yml,BTOR2,BMC,7
iprotocol.7.prop1-back-serstep.yml,BTOR2,BMC,5
iprotocol.7.prop1-func-interl.yml,BTOR2,BMC,6
krebs.1.prop1-back-serstep.yml,BTOR2,BMC,8
krebs.1.prop1-func-interl.yml,BTOR2,BMC,9
krebs.2.prop1-back-serstep.yml,BTOR2,BMC,6
krebs.2.prop1-func-interl.yml,BTOR2,BMC,8
krebs.3.prop1-back-serstep.yml,BTOR2,BMC,6
krebs.3.prop1-func-interl.yml,BTOR2,BMC,8
krebs.4.prop1-back-serstep.yml,BTOR2,BMC,5
krebs.4.prop1-func-interl.yml,BTOR2,BMC,7
lamport.1.prop1-back-serstep.yml,BTOR2,BMC,5
lamport.1.prop1-func-interl.yml,BTOR2,BMC,7
lamport.2.prop1-back-serstep.yml,BTOR2,BMC,6
lamport.2.prop1-func-interl.yml,BTOR2,BMC,6
lamport.3.prop1-back-serstep.yml,BTOR2,BMC,5
lamport.3.prop1-func-interl.yml,BTOR2,BMC,6
lamport.5.prop1-back-serstep.yml,BTOR2,BMC,5
lamport.5.prop1-func-interl.yml,BTOR2,BMC,5
lamport.6.prop1-back-serstep.yml,BTOR2,BMC,5
lamport.6.prop1-func-interl.yml,BTOR2,BMC,6
lamport.7.prop1-back-serstep.yml,BTOR2,BMC,5
lamport.7.prop1-func-interl.yml,BTOR2,BMC,5
lamport.8.prop1-back-serstep.yml,BTOR2,BMC,5
lamport.8.prop1-func-interl.yml,BTOR2,BMC,5
lamport_nonatomic.1.prop1-back-serstep.yml,BTOR2,BMC,4
lamport_nonatomic.1.prop1-func-interl.yml,BTOR2,BMC,4
