Filename,Input Type,CPU Time,Memory
krebs.4.prop1-func-interl.yml,BTOR2,4.799360372s,196747264B
lamport.1.prop1-back-serstep.yml,BTOR2,10.549952549s,214028288B
lamport.1.prop1-func-interl.yml,BTOR2,8.813571148s,196337664B
lamport.2.prop1-back-serstep.yml,BTOR2,7.284801316s,227876864B
lamport.2.prop1-func-interl.yml,BTOR2,8.23214259s,203571200B
lamport.3.prop1-back-serstep.yml,BTOR2,9.767719507s,196509696B
lamport.3.prop1-func-interl.yml,BTOR2,9.423092081s,211410944B
lamport.5.prop1-back-serstep.yml,BTOR2,12.17958607s,285478912B
lamport.5.prop1-func-interl.yml,BTOR2,9.957035454s,233189376B
lamport.6.prop1-back-serstep.yml,BTOR2,10.887412904s,259338240B
lamport.6.prop1-func-interl.yml,BTOR2,10.958394666s,282718208B
lamport.7.prop1-back-serstep.yml,BTOR2,8.049811864s,409083904B
lamport.7.prop1-func-interl.yml,BTOR2,8.775264565s,277372928B
lamport.8.prop1-back-serstep.yml,BTOR2,10.518305347s,370806784B
lamport.8.prop1-func-interl.yml,BTOR2,14.846521905s,369733632B
lamport_nonatomic.1.prop1-back-serstep.yml,BTOR2,16.991811397s,451719168B
lamport_nonatomic.1.prop1-func-interl.yml,BTOR2,9.142051255s,492335104B
lamport_nonatomic.2.prop1-back-serstep.yml,BTOR2,14.792814447s,423518208B
lamport_nonatomic.2.prop1-func-interl.yml,BTOR2,15.567866847s,432582656B
lamport_nonatomic.3.prop1-back-serstep.yml,BTOR2,12.136443011s,469114880B
lamport_nonatomic.3.prop1-func-interl.yml,BTOR2,16.215412818s,426565632B
lamport_nonatomic.4.prop1-back-serstep.yml,BTOR2,25.337889443s,538390528B
lamport_nonatomic.4.prop1-func-interl.yml,BTOR2,16.627357089s,790425600B
lamport_nonatomic.5.prop1-back-serstep.yml,BTOR2,36.842822452s,726851584B
lamport_nonatomic.5.prop1-func-interl.yml,BTOR2,24.759031414s,946171904B
lann.1.prop1-back-serstep.yml,BTOR2,8.203750358s,197681152B
lann.1.prop1-func-interl.yml,BTOR2,3.999159157s,196083712B
lann.2.prop1-back-serstep.yml,BTOR2,5.497070861s,212733952B
lann.2.prop1-func-interl.yml,BTOR2,7.778297367s,220078080B
lann.3.prop1-back-serstep.yml,BTOR2,8.631559387s,226250752B
lann.3.prop1-func-interl.yml,BTOR2,9.383487101s,186634240B
lann.4.prop1-back-serstep.yml,BTOR2,13.121990124s,260771840B
lann.4.prop1-func-interl.yml,BTOR2,7.027663742s,266797056B
lann.5.prop1-back-serstep.yml,BTOR2,12.764795875s,265781248B
lann.5.prop1-func-interl.yml,BTOR2,9.529397429s,247537664B
lann.6.prop1-back-serstep.yml,BTOR2,10.7300539s,226590720B
lann.6.prop1-func-interl.yml,BTOR2,5.679015905s,201023488B
lann.7.prop1-back-serstep.yml,BTOR2,6.262027347s,318517248B
lann.7.prop1-func-interl.yml,BTOR2,5.390801061s,237453312B
lann.8.prop1-back-serstep.yml,BTOR2,6.319763236s,281694208B
lann.8.prop1-func-interl.yml,BTOR2,11.167309626s,216104960B
leader_election.1.prop1-back-serstep.yml,BTOR2,17.897180979s,805941248B
leader_election.1.prop1-func-interl.yml,BTOR2,20.881827302s,502345728B
leader_election.2.prop1-back-serstep.yml,BTOR2,19.806871769s,1125261312B
leader_election.2.prop1-func-interl.yml,BTOR2,21.31729373s,615194624B
leader_election.3.prop1-back-serstep.yml,BTOR2,26.346080832s,1127907328B
leader_election.3.prop1-func-interl.yml,BTOR2,23.943810653s,671662080B
leader_election.4.prop1-back-serstep.yml,BTOR2,36.160361738s,1155969024B
leader_election.4.prop1-func-interl.yml,BTOR2,21.688610138s,949788672B
leader_election.5.prop1-back-serstep.yml,BTOR2,49.736457001s,1244155904B
leader_election.5.prop1-func-interl.yml,BTOR2,42.977629423s,809480192B
leader_election.6.prop1-back-serstep.yml,BTOR2,126.404920182s,1241845760B
leader_election.6.prop1-func-interl.yml,BTOR2,40.279235492s,1149628416B
leader_filters.1.prop1-back-serstep.yml,BTOR2,7.382068995s,248852480B
leader_filters.1.prop1-func-interl.yml,BTOR2,9.193645643s,205225984B
leader_filters.2.prop1-back-serstep.yml,BTOR2,6.990547272s,250417152B
leader_filters.2.prop1-func-interl.yml,BTOR2,6.542078891s,188624896B
leader_filters.3.prop1-back-serstep.yml,BTOR2,11.456990621s,328712192B
leader_filters.3.prop1-func-interl.yml,BTOR2,10.238889845s,285696000B
leader_filters.4.prop1-back-serstep.yml,BTOR2,12.169808446s,307486720B
leader_filters.4.prop1-func-interl.yml,BTOR2,9.362234555s,227553280B
leader_filters.5.prop1-back-serstep.yml,BTOR2,16.582800021s,314408960B
leader_filters.5.prop1-func-interl.yml,BTOR2,13.10476469s,322605056B
leader_filters.6.prop1-back-serstep.yml,BTOR2,14.918235319s,367366144B
leader_filters.6.prop1-func-interl.yml,BTOR2,9.570336953s,340492288B
leader_filters.7.prop1-back-serstep.yml,BTOR2,10.501029921s,450777088B
leader_filters.7.prop1-func-interl.yml,BTOR2,8.881850867s,321339392B
lifts.1.prop1-back-serstep.yml,BTOR2,15.409967821s,680009728B
lifts.1.prop1-func-interl.yml,BTOR2,19.403438271s,610746368B
lifts.2.prop1-back-serstep.yml,BTOR2,18.514735929s,564166656B
lifts.2.prop1-func-interl.yml,BTOR2,12.391275405s,629522432B
